# BUSCO version is: 3.0.0 
# The lineage dataset is: tetrapoda_odb9 (Creation date: 2016-02-13, number of species: 55, number of BUSCOs: 3950)
# To reproduce this run: python /mnt/lustre/software/linuxbrew/colsa/bin/busco -i /mnt/lustre/macmaneslab/shared/Stuckert/Stuckert_Ranitomeya_imitator_genome/imitator.1.3.6.fa -o Ranitomeya_imitator_genome_BUSCO -l /mnt/lustre/macmaneslab/ams1236/Oyster_River_Protocol/busco_dbs/tetrapoda_odb9/ -m genome -c 40 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0907000W	Complete	scaffold7_pilon_pilon	8203253	8364966	7181.5	3509
EOG0907001A	Complete	scaffold1087_pilon_pilon	76455	162037	3801.9	2795
EOG0907001Q	Fragmented	scaffold82_pilon_pilon	2824576	2899654	2360.5	1244
EOG0907001W	Complete	scaffold153_pilon_pilon	2724819	2814116	6503.6	3034
EOG09070025	Complete	scaffold8_pilon_pilon	6911191	6951187	5130.0	2687
EOG0907002C	Fragmented	scaffold6_pilon_pilon	26129359	26165364	3718.9	1954
EOG0907002D	Fragmented	scaffold399_pilon_pilon	36128	77069	2360.4	2039
EOG0907002G	Complete	scaffold68_pilon_pilon	861347	1011680	5773.2	3046
EOG0907002K	Duplicated	scaffold192_pilon_pilon	2542124	2690611	2633.0	2430
EOG0907002K	Duplicated	scaffold585_pilon_pilon	561290	772904	2951.2	2453
EOG09070035	Missing
EOG0907003I	Complete	scaffold10560_pilon_pilon	49834	60557	2111.3	1958
EOG0907003U	Complete	scaffold2_pilon_pilon	19185187	19340234	4357.0	2222
EOG09070041	Complete	scaffold56_pilon_pilon	1271526	1332066	4600.3	2301
EOG09070044	Complete	scaffold5_pilon_pilon	21698021	21750190	4197.7	2410
EOG09070045	Complete	scaffold17_pilon_pilon	5580496	5586753	1246.3	1075
EOG09070046	Complete	scaffold92_pilon_pilon	6461112	6581373	4160.0	2178
EOG0907004B	Complete	scaffold43_pilon_pilon	578415	681440	3607.1	2205
EOG0907004F	Duplicated	scaffold3450_pilon_pilon	89043	121112	5062.0	2167
EOG0907004F	Duplicated	scaffold58_pilon_pilon	9285797	9325126	4542.3	2002
EOG0907004J	Complete	scaffold2_pilon_pilon	34098666	34194317	3919.2	2065
EOG0907004M	Complete	scaffold3235_pilon_pilon	136752	233906	3799.0	1964
EOG0907004Q	Complete	scaffold10_pilon_pilon	15046523	15093679	5265.4	2650
EOG0907004U	Complete	scaffold1_pilon_pilon	57217898	57270162	3592.8	2144
EOG0907004V	Fragmented	scaffold18_pilon_pilon	1919973	1953964	2488.3	1257
EOG09070053	Complete	scaffold163_pilon_pilon	4807536	4881412	3263.8	1849
EOG09070056	Complete	scaffold56_pilon_pilon	9481556	9551429	2994.7	1891
EOG0907005G	Complete	scaffold74_pilon_pilon	652413	878882	3594.1	1772
EOG0907005I	Complete	scaffold5_pilon_pilon	15196226	15301678	4527.8	2055
EOG0907005M	Complete	scaffold23_pilon_pilon	7946009	8019381	3243.3	2008
EOG0907005P	Complete	scaffold71_pilon_pilon	1549693	1723615	3851.9	1895
EOG0907005S	Fragmented	scaffold1184_pilon_pilon	220306	284973	1597.3	914
EOG09070060	Complete	scaffold38_pilon_pilon	3641302	3782356	2704.8	1689
EOG0907006E	Complete	scaffold102_pilon_pilon	348963	446638	2661.9	1424
EOG0907006T	Complete	scaffold269_pilon_pilon	1226061	1250216	3205.0	1646
EOG0907006V	Complete	scaffold20_pilon_pilon	11367951	11425508	4408.5	2383
EOG09070077	Fragmented	scaffold151_pilon_pilon	1791822	1869112	2447.4	1356
EOG09070079	Complete	scaffold33_pilon_pilon	5287845	5378639	3018.6	1604
EOG0907007K	Complete	scaffold9_pilon_pilon	21140003	21229428	3243.1	1669
EOG0907007L	Complete	scaffold1_pilon_pilon	33421422	33478822	3123.3	2110
EOG0907007V	Complete	scaffold1_pilon_pilon	51245662	51313556	3162.5	1977
EOG0907007Z	Complete	scaffold39_pilon_pilon	13532603	13648284	1903.3	1050
EOG09070080	Complete	scaffold41_pilon_pilon	10558037	10603038	3043.4	1626
EOG09070084	Complete	scaffold56_pilon_pilon	1553462	1712873	3629.4	1765
EOG09070088	Complete	scaffold298_pilon_pilon	1277659	1281809	1141.9	1233
EOG0907008B	Complete	scaffold140_pilon_pilon	4928252	4992271	3885.6	2067
EOG0907008N	Duplicated	scaffold289_pilon_pilon	45047	66255	3387.9	1976
EOG0907008N	Duplicated	scaffold44_pilon_pilon	12112698	12216608	3296.6	1712
